asset,month,operation_count,total_value_brl,average_value_brl
AAVE,2026-02-01,67474,29598932.000000414,438.6716661232536
AAVE,2026-03-01,66743,29810821.050000604,446.6509004689721
AAVE,2026-04-01,67010,42985421.83000047,641.4777172063941
AAVE,2026-05-01,56413,24825813.86000037,440.07256944321995
AAVE,2026-06-01,67531,40077696.78000122,593.4710989027443
ADA,2019-08-01,1089,268153.02,246.23785123966942
ADA,2019-09-01,1005,352891.50999999995,351.13583084577107
ADA,2019-10-01,1231,449362.8499999997,365.0388708367179
ADA,2019-11-01,1583,544227.4899999998,343.79500315855955
ADA,2019-12-01,685,153358.65000000008,223.88124087591254
ADA,2020-01-01,2448,670268.85,273.80263480392153
ADA,2020-02-01,2103,843999.5499999978,401.33121730860574
ADA,2020-03-01,1375,666906.4600000005,485.0228800000004
ADA,2020-04-01,1960,1190848.1400000008,607.5755816326534
ADA,2020-05-01,4501,3383610.199999998,751.7463230393241
ADA,2020-06-01,6100,6373308.800000012,1044.8047213114774
ADA,2020-07-01,10762,9880544.619999971,918.0955788886797
ADA,2020-08-01,8288,7015136.190000011,846.4208723455612
ADA,2020-09-01,3747,3108455.15999999,829.5850440352255
ADA,2020-10-01,3067,1955869.4899999932,637.7142125855863
ADA,2020-11-01,6904,6005406.740000006,869.8445451911944
ADA,2020-12-01,6866,5074100.619999991,739.0184415962701
ADA,2021-01-01,30935,28837820.870000064,932.206913528368
ADA,2021-02-01,107400,159879093.57000265,1488.632156145276
ADA,2021-03-01,80950,112510591.61000198,1389.877598641161
ADA,2021-04-01,107704,94514753.78999966,877.5417235200147
ADA,2021-05-01,231785,256087532.09000427,1104.8494600168444
ADA,2021-06-01,80383,77343500.54000004,962.1872851224766
ADA,2021-07-01,40743,34853018.249999866,855.4357374272848
ADA,2021-08-01,285751,241112445.90000468,843.7851342602639
ADA,2021-09-01,230640,182639770.3000007,791.8824588102701
ADA,2021-10-01,273012,211031510.78999534,772.9752201001983
ADA,2021-11-01,254719,203739251.79999915,799.8588711482031
ADA,2021-12-01,135481,81440273.53000003,601.1195188255182
ADA,2022-01-01,115013,73843205.31999943,642.0422501804094
