month,asset,operation_count,total_value_brl,average_value_brl,stablecoin_flag,share_of_monthly_crypto_volume
2023-05-01,AAVE,14249,1324898.939999972,92.98188925538436,False,7.385485311953544e-05
2023-06-01,AAVE,20202,3436567.4800000214,170.11026037026144,False,0.00016169571144718556
2023-07-01,AAVE,27737,5062978.919999978,182.53520279770623,False,0.00023154298982877052
2023-08-01,AAVE,20278,3891275.4499999695,191.8964123680821,False,0.00016266607163642667
2023-09-01,AAVE,32940,3616155.3899999647,109.78006648451624,False,0.00021472185026953175
2023-10-01,AAVE,104105,13080126.430000344,125.64359473608708,False,0.0005974385016504256
2023-11-01,AAVE,109538,20714725.7800004,189.10995070204316,False,0.0009097467268881042
2023-12-01,AAVE,48966,10883209.099999975,222.26052975534,False,0.00044040520385055313
2024-01-01,AAVE,15160,8072867.549999992,532.5110521108174,False,0.00030344290985172615
2024-02-01,AAVE,57179,25729576.630000927,449.98297679219513,False,0.0011963857653739533
2024-03-01,AAVE,112733,53579101.7400007,475.2743361748618,False,0.0016379703267389754
2024-04-01,AAVE,65550,27686061.530000143,422.36554584287023,False,0.0008835204539845147
2024-05-01,AAVE,49196,21455935.14000002,436.1317005447601,False,0.0007708182574672047
2024-06-01,AAVE,49152,24149328.42000017,491.3193444824253,False,0.0009031729881908884
2024-07-01,AAVE,89317,41086497.88000074,460.0075895966136,False,0.0013927574062367566
2024-08-01,AAVE,144288,78937132.53000115,547.0803707169075,False,0.00235884981114241
2024-09-01,AAVE,151195,82400200.33000153,544.9928921591423,False,0.0024228917485534227
2024-10-01,AAVE,108545,66790200.80000084,615.3226846008645,False,0.0021189171970830848
2024-11-01,AAVE,283020,241098078.65000132,851.8764703907899,False,0.0064145029489259256
2024-12-01,AAVE,503434,508578345.37999785,1010.2185100330884,False,0.01066576231073395
2025-01-01,AAVE,299787,329048533.6200022,1097.607746900307,False,0.007661102356555317
2025-02-01,AAVE,154325,154961631.7600014,1004.1252665478788,False,0.0047012278882704725
2025-03-01,AAVE,199352,197018995.9600041,988.2970622818136,False,0.005638906908808591
2025-04-01,AAVE,120123,76058046.05999868,633.1680532454125,False,0.002240145733533869
2025-05-01,AAVE,185307,198706200.08000183,1072.3081161532043,False,0.006098961087228342
2025-06-01,AAVE,133616,142118307.5700017,1063.6324060741356,False,0.0038759026968226413
2025-07-01,AAVE,153301,169933685.73000094,1108.4969160670898,False,0.004246811868999143
2025-08-01,AAVE,126489,139227857.04000047,1100.7111846880002,False,0.0037080508265875324
2025-09-01,AAVE,97033,94960339.77000111,978.639635690962,False,0.002804300370083045
2025-10-01,AAVE,100628,98911031.48000064,982.9374675040808,False,0.002144187179781565
2025-11-01,AAVE,88978,69104894.32000099,776.6514680033378,False,0.0014317795445327047
2025-12-01,AAVE,60270,24891735.570000123,413.0037426580409,False,0.000644154137411536
2026-01-01,AAVE,74962,39902925.77000037,532.3087133481013,False,0.0010553569426297905
2026-02-01,AAVE,67474,29598932.000000414,438.6716661232536,False,0.0008008554198328708
2026-03-01,AAVE,66743,29810821.050000604,446.6509004689721,False,0.0007693438968790065
2026-04-01,AAVE,67010,42985421.83000047,641.4777172063941,False,0.0010566489582679024
2026-05-01,AAVE,56413,24825813.86000037,440.07256944322,False,0.0004530844478784792
2026-06-01,AAVE,67531,40077696.78000122,593.4710989027443,False,0.0007740058378046178
2019-08-01,ADA,1089,268153.02,246.23785123966945,False,6.738328030276944e-05
2019-09-01,ADA,1005,352891.50999999995,351.13583084577107,False,6.1004054062525595e-05
2019-10-01,ADA,1231,449362.8499999997,365.0388708367179,False,6.944339732270453e-05
2019-11-01,ADA,1583,544227.4899999998,343.79500315855955,False,9.8762666729821e-05
2019-12-01,ADA,685,153358.65000000008,223.8812408759125,False,2.5791360436349e-05
2020-01-01,ADA,2448,670268.85,273.80263480392153,False,9.989192780659167e-05
2020-02-01,ADA,2103,843999.5499999978,401.33121730860574,False,0.00013299185106631858
2020-03-01,ADA,1375,666906.4600000005,485.0228800000004,False,8.885159071674145e-05
2020-04-01,ADA,1960,1190848.1400000008,607.5755816326534,False,0.00020747947406546098
2020-05-01,ADA,4501,3383610.199999998,751.7463230393241,False,0.0005302423421183562
2020-06-01,ADA,6100,6373308.800000012,1044.8047213114774,False,0.0009762201233537723
2020-07-01,ADA,10762,9880544.619999971,918.0955788886796,False,0.0009526066828643419
2020-08-01,ADA,8288,7015136.190000011,846.4208723455612,False,0.0007470978439527834
2020-09-01,ADA,3747,3108455.15999999,829.5850440352255,False,0.0004663117308940101
2020-10-01,ADA,3067,1955869.4899999928,637.7142125855863,False,0.00031111862230806704
2020-11-01,ADA,6904,6005406.740000006,869.8445451911944,False,0.0006191375449175072
2020-12-01,ADA,6866,5074100.619999991,739.0184415962701,False,0.00045828206076856375
2021-01-01,ADA,30935,28837820.870000064,932.206913528368,False,0.001852704315517182
2021-02-01,ADA,107400,159879093.57000265,1488.632156145276,False,0.009546515302916957
2021-03-01,ADA,80950,112510591.61000198,1389.877598641161,False,0.006201913755688712
2021-04-01,ADA,107704,94514753.78999966,877.5417235200147,False,0.004148116186839356
2021-05-01,ADA,231785,256087532.09000427,1104.8494600168444,False,0.009856494594567403
2021-06-01,ADA,80383,77343500.54000004,962.1872851224766,False,0.0046743859335615584
2021-07-01,ADA,40743,34853018.249999866,855.4357374272848,False,0.002560828666256799
2021-08-01,ADA,285751,241112445.90000468,843.7851342602639,False,0.014952086660100424
2021-09-01,ADA,230640,182639770.3000007,791.8824588102701,False,0.01432638105972096
2021-10-01,ADA,273012,211031510.7899953,772.9752201001983,False,0.015107347315465315
2021-11-01,ADA,254719,203739251.79999915,799.8588711482031,False,0.011202336545154137
2021-12-01,ADA,135481,81440273.53000003,601.1195188255182,False,0.005469168866467606
2022-01-01,ADA,115013,73843205.31999943,642.0422501804094,False,0.00491538445435068
2022-02-01,ADA,71475,60529968.60000023,846.8690954879361,False,0.004711548381823987
2022-03-01,ADA,74293,32238440.50000016,433.9364475791819,False,0.0024394492870607504
2022-04-01,ADA,57326,19543403.01000012,340.91691396574186,False,0.001480011979896987
2022-05-01,ADA,79823,44889210.0699998,562.3593459278629,False,0.002601512999067462
2022-06-01,ADA,74792,34818328.84000041,465.53546956894337,False,0.0023385553127969827
2022-07-01,ADA,52659,20859299.61000008,396.1203139064562,False,0.0014460803382106405
2022-08-01,ADA,51880,14646770.550000235,282.32017251349725,False,0.0009913585259200771
2022-09-01,ADA,58404,13212047.329999965,226.2181927607692,False,0.0010772856484654175
2022-10-01,ADA,47156,13259336.600000024,281.1802655017394,False,0.0009597493064909291
2022-11-01,ADA,59103,22049303.149999864,373.0657183222487,False,0.001406165193182292
2022-12-01,ADA,29922,11953908.840000035,399.5023340685795,False,0.0008703654615643817
2023-01-01,ADA,54358,14159664.05000005,260.48905496891075,False,0.0008278365711759509
2023-02-01,ADA,52602,19418334.08000005,369.1558130869559,False,0.0012530688521167508
2023-03-01,ADA,65724,18080991.699999988,275.10485819487536,False,0.0008893311738628585
2023-04-01,ADA,38543,14485984.77,375.8395757984589,False,0.0006504319008235475
2023-05-01,ADA,41510,10254778.610000052,247.04357046494945,False,0.0005716399531687478
2023-06-01,ADA,50711,15740427.06000008,310.39472816548835,False,0.000740610963341022
2023-07-01,ADA,38309,10723409.900000015,279.9188154219639,False,0.000490408992144382
2023-08-01,ADA,30737,6901191.66,224.5239177538472,False,0.00028848889043366977
2023-09-01,ADA,19472,5234721.969999988,268.8332975554636,False,0.0003108298913684062
2023-10-01,ADA,26392,8933946.349999996,338.5096373901181,False,0.00040806054511272375
2023-11-01,ADA,77792,19896999.780000072,255.7717988996307,False,0.0008738339390533822
2023-12-01,ADA,148315,51811941.71000046,349.3371655597914,False,0.002096647095633381
2024-01-01,ADA,110770,28946392.43000037,261.31978360567274,False,0.001088036870946718
2024-02-01,ADA,105254,37210893.41999996,353.53424496931194,False,0.0017302493486280753
2024-03-01,ADA,143034,67188043.6100002,469.7347736202595,False,0.0020540102049277672
2024-04-01,ADA,100583,35943126.70000027,357.3479285764023,False,0.0011470207701877852
2024-05-01,ADA,81801,25502949.570000112,311.76818828620816,False,0.0009162098514724288
2024-06-01,ADA,71504,25467024.77000029,356.16223945513946,False,0.0009524541826514434
2024-07-01,ADA,84335,39805013.6300003,471.98688124740977,False,0.0013493174254095605
2024-08-01,ADA,81748,94115649.45000003,1151.289933087049,False,0.002812423948213496
2024-09-01,ADA,69179,20759872.229999937,300.0892211509264,False,0.0006104223403056047
2024-10-01,ADA,76401,24039445.92000005,314.6483150744107,False,0.0007626507295698423
2024-11-01,ADA,301269,226975013.54000056,753.3965112241902,False,0.0060387536136212484
2024-12-01,ADA,274406,169982067.49999884,619.4546310940681,False,0.0035648162087740863
2025-01-01,ADA,192374,102650491.77000092,533.5985724162357,False,0.002389969393721412
2025-02-01,ADA,101479,63764685.75000087,628.3535091004136,False,0.0019344938197281166
2025-03-01,ADA,203927,103426860.11999758,507.1759017687583,False,0.0029601939307691413
2025-04-01,ADA,190766,60422208.91000141,316.73468495434935,False,0.0017796217561736577
2025-05-01,ADA,142946,63002067.56000059,440.74033243323066,False,0.001933745189172112
2025-06-01,ADA,75652,36560474.73999986,483.2717540844903,False,0.0009970906990437068
2025-07-01,ADA,131306,89977678.25000162,685.2518411192301,False,0.002248631695920616
2025-08-01,ADA,132841,119415071.71000172,898.9323455108116,False,0.0031803775822970884
2025-09-01,ADA,99604,55556694.18000042,557.7757337054779,False,0.001640660284355719
2025-10-01,ADA,97465,68770361.27000068,705.5903275021873,False,0.0014907996082711681
2025-11-01,ADA,83878,44421294.140000336,529.5941026252455,False,0.0009203617329447943
2025-12-01,ADA,64422,50966698.24000052,791.138093197984,False,0.0013189281016253952
2026-01-01,ADA,80181,51230744.43000062,638.9387065514351,False,0.0013549563288149115
2026-02-01,ADA,59717,22982760.99000004,384.8612788653154,False,0.0006218423253097358
2026-03-01,ADA,55409,19193785.580000367,346.4019487808906,False,0.0004953443506037639
2026-04-01,ADA,53439,13425499.68999985,251.23036901887852,False,0.0003300197987533448
2026-05-01,ADA,59183,13649268.450000018,230.6281947518716,False,0.0002491064862762695
2026-06-01,ADA,72805,20081796.230000515,275.82990495159004,False,0.0003878323547619467
2019-08-01,BCH,57610,27731957.14000032,481.3740173581031,False,0.00696867125087396
2019-09-01,BCH,45577,17916807.190000076,393.110717905963,False,0.0030972631629664652
2019-10-01,BCH,43785,21539850.990000125,491.9458944844153,False,0.0033287140460552768
2019-11-01,BCH,40279,19261112.6199998,478.1924233471485,False,0.0034953744187648265
2019-12-01,BCH,21021,7395494.300000098,351.8145806574425,False,0.0012437502488204413
2020-01-01,BCH,81230,56837869.829998605,699.7152508925102,False,0.008470697078849294
2020-02-01,BCH,75931,64964706.69000013,855.5755447709122,False,0.010236707586732232
2020-03-01,BCH,63706,55936739.60000085,878.0450758170479,False,0.007452421877827087
2020-04-01,BCH,48649,43473179.83999994,893.6089095356522,False,0.007574259207522784
2020-05-01,BCH,42236,37548951.31000023,889.0271642674551,False,0.005884260511657831
2020-06-01,BCH,19054,12904153.339999998,677.2411745565234,False,0.0019765705006088465
2020-07-01,BCH,29284,32856428.64999997,1121.9925095615345,False,0.003167766020072433
2020-08-01,BCH,44894,37626616.47000009,838.1212738896086,False,0.004007158703497004
2020-09-01,BCH,27986,15988606.839999976,571.3073265204023,False,0.0023985145502771936
2020-10-01,BCH,23931,15965016.469999978,667.1270097363243,False,0.0025395426201325995
2020-11-01,BCH,60979,55994613.93000028,918.2606131619128,False,0.005772859241374881
2020-12-01,BCH,67877,55976510.90000023,824.6756765914851,False,0.005055680344369309
2021-01-01,BCH,157763,145803503.14999545,924.1932718698012,False,0.009367239664926839
2021-02-01,BCH,177554,201622291.06999496,1135.5547668314707,False,0.012039036775412536
2021-03-01,BCH,106123,100354632.60999817,945.6445125938596,False,0.005531841647304121
2021-04-01,BCH,229227,286483685.90999466,1249.781596016153,False,0.012573355662853015
2021-05-01,BCH,235273,359317427.119981,1527.2361347030087,False,0.013829686471800698
2021-06-01,BCH,46635,37538809.75999981,804.9492818698362,False,0.00226872178114097
2021-07-01,BCH,34212,24465903.140000142,715.126363264356,False,0.0017976344446660611
2021-08-01,BCH,58810,42183286.54999973,717.2808459445627,False,0.0026159087464320413
2021-09-01,BCH,48134,33342211.52000005,692.6956313624477,False,0.0026153845179761317
2021-10-01,BCH,56549,37984720.92999979,671.7133977612299,False,0.0027192544356164313
2021-11-01,BCH,46421,32202890.53000006,693.7138478274932,False,0.0017706338580154698
2021-12-01,BCH,23337,13286944.310000146,569.3510009855656,False,0.0008922924617139566
2022-01-01,BCH,16741,9081970.380000072,542.4986786930334,False,0.0006045427717726006
2022-02-01,BCH,15347,7525020.600000067,490.3251840750679,False,0.0005857346278405692
2022-03-01,BCH,18531,8626637.530000055,465.5246629971429,False,0.000652768696187089
2022-04-01,BCH,15136,7934351.110000035,524.2039581131102,False,0.0006008643780973196
2022-05-01,BCH,19593,89489422.11999942,4567.418063594111,False,0.005186277382942925
2022-06-01,BCH,17713,5281372.46000004,298.1636346186439,False,0.0003547206898397659
2022-07-01,BCH,18060,6558225.310000074,363.1353992248103,False,0.0004546519227232315
2022-08-01,BCH,16363,6565608.180000034,401.24721505836544,False,0.00044438954135821634
2022-09-01,BCH,11546,4715958.930000013,408.4495868699128,False,0.0003845304779150647
2022-10-01,BCH,7628,2896027.9,379.6575642370215,False,0.00020962291345732762
2022-11-01,BCH,17113,5159405.350000024,301.49040787705394,False,0.00032903426341111277
2022-12-01,BCH,28206,1570826.039999998,55.69120187194207,False,0.00011437202254438005
2023-01-01,BCH,51271,5202300.140000015,101.4667188079034,False,0.0003041494695720388
2023-02-01,BCH,43197,3554750.1899999995,82.29159872213347,False,0.0002293887169617122
2023-03-01,BCH,40226,5191101.220000011,129.04840700044775,False,0.0002553293656798443
2023-04-01,BCH,31017,2562618.459999999,82.6198039784634,False,0.00011506354745555289
2023-05-01,BCH,30268,2986699.339999959,98.6751466895718,False,0.00016648986153458247
2023-06-01,BCH,73562,20005168.099999096,271.94975802723,False,0.0009412734967013873
2023-07-01,BCH,70300,17704973.910000082,251.84884651493715,False,0.0008096937906985823
2023-08-01,BCH,45713,7222671.280000263,158.0003780106373,False,0.00030192762731276023
2023-09-01,BCH,61123,7123705.300000236,116.54704939221304,False,0.00042299487102265683
2023-10-01,BCH,178115,15884202.180000354,89.17947494596386,False,0.0007255154605054979
2023-11-01,BCH,138504,12654153.819999976,91.36309290706389,False,0.0005557435392361422
2023-12-01,BCH,75552,11869974.3600002,157.10999523507255,False,0.0004803361241783675
2024-01-01,BCH,23616,9253066.940000022,391.8134713753397,False,0.000347804239315981
2024-02-01,BCH,94672,19574389.48000202,206.7600714044493,False,0.0009101790237952793
2024-03-01,BCH,267209,131754635.08000258,493.0770860263037,False,0.004027879819983027
2024-04-01,BCH,204229,128716608.14000122,630.256271832116,False,0.004107617688271466
2024-05-01,BCH,112212,42851973.70000118,381.8840560724448,False,0.0015394846918084673
2024-06-01,BCH,88311,28555917.150001027,323.35628800490343,False,0.0010679772362339542
2024-07-01,BCH,124040,42380828.48000088,341.670658497266,False,0.0014366328549190485
2024-08-01,BCH,104364,31968498.19000073,306.3172951400937,False,0.0009553030810858186
2024-09-01,BCH,85017,24429926.29999998,287.35342696166623,False,0.0007183364435157447
2024-10-01,BCH,116684,38230454.570000656,327.6409325186029,False,0.0012128600703454836
2024-11-01,BCH,280862,171012238.97000223,608.8835049597391,False,0.004549843438478593
2024-12-01,BCH,283202,171399309.42000458,605.2192760644507,False,0.00359453820852674
2025-01-01,BCH,151669,68955461.62000069,454.6444007674653,False,0.0016054617952633667
2025-02-01,BCH,81946,34978745.360000364,426.8511624728524,False,0.0010611856064979244
2025-03-01,BCH,148890,84663505.0800021,568.631238363907,False,0.0024231654485565024
2025-04-01,BCH,105862,59806430.33000046,564.947104060007,False,0.0017614851640542321
2025-05-01,BCH,117294,73715492.8300021,628.4677206847929,False,0.0022625762161172245
2025-06-01,BCH,95641,42921703.19000171,448.77932257088185,False,0.001170576458380679
2025-07-01,BCH,110957,59549484.3800013,536.6897481006273,False,0.001488200858890223
2025-08-01,BCH,83365,43543258.36000102,522.3206184849879,False,0.0011596861331258463
2025-09-01,BCH,69407,39760705.75000066,572.8630505568698,False,0.0011741845292419031
2025-10-01,BCH,60769,42468759.62000059,698.8556602873273,False,0.0009206351258892938
2025-11-01,BCH,63895,41939284.16000036,656.3781854605269,False,0.0008689371391637219
2025-12-01,BCH,62410,21705826.48000003,347.7940471078357,False,0.0005617084390804825
2026-01-01,BCH,79663,31751513.75000066,398.57291025947626,False,0.000839767506478464
2026-02-01,BCH,65982,27466785.27000042,416.2769432572583,False,0.0007431661334559366
2026-03-01,BCH,59854,15827187.750000574,264.4299086109629,False,0.000408460749195664
2026-04-01,BCH,37878,9619493.479999945,253.9599102381315,False,0.00023646220816222964
2026-05-01,BCH,46681,17606587.490000185,377.1681731325418,False,0.00032132968598398866
2026-06-01,BCH,53329,31318727.86000093,587.2738633764168,False,0.0006048470881278549
2019-08-01,BNB,1,100.21,100.21,False,2.5181437520787665e-08
