month,protocol,asset,deposits_usd,borrows_usd,withdrawals_usd,repayments_usd,avg_tvl_usd,active_user_days
2024-03-01,compound,USDC,374887807.14,239538748.26,310302895.26,200404244.85,509150609.52,2501.0
2024-03-01,spark,USDC,3596000.06,1719750.93,2519541.92,564171.41,2020601.48,101.0
2024-03-01,spark,USDT,3064552.94,151072.33,3031146.5,133933.48,165917.21,44.0
2024-04-01,aave,USDC,1065429384.95,567088840.01,972738405.57,587465454.83,1262402498.1,5794.0
2024-04-01,aave,USDT,1214299828.37,721318493.58,1046960553.82,755385772.65,1073356497.81,5237.0
2024-04-01,compound,USDC,278335604.97,141484276.17,256470707.82,128412563.62,547213144.35,2027.0
2024-04-01,spark,USDC,362587.65,1493808.19,480497.06,1348528.81,2340791.48,95.0
2024-04-01,spark,USDT,1463409.01,96259.0,1406612.4,55482.84,194636.12,40.0
2024-05-01,aave,USDC,1297798137.16,1130197019.6,1202561684.48,903475580.52,1328017417.87,6017.0
2024-05-01,aave,USDT,1322849015.11,1075879217.36,1208020055.15,757626001.62,1262174426.49,5823.0
2024-05-01,compound,USDC,149703982.51,116759092.82,165069331.5,102735088.43,540931920.01,2056.0
2024-05-01,spark,USDC,2153896.54,1835804.24,1866331.6,1186882.01,2377894.27,80.0
2024-05-01,spark,USDT,795391.62,51240.0,801365.68,31053.4,215103.58,49.0
2024-06-01,aave,USDC,690867372.87,802528071.42,655393053.91,790320937.23,1413480677.07,5661.0
2024-06-01,aave,USDT,1682629585.68,623152846.08,1228887719.41,463585040.84,1531253456.41,6370.0
2024-06-01,compound,USDC,163602409.27,86023778.9,150668611.65,72199303.56,558603007.6,1845.0
2024-06-01,spark,USDC,317544.37,498977.93,336535.95,555234.01,2567048.86,71.0
2024-06-01,spark,USDT,1203447.89,44698.56,1167096.02,30338.03,241126.43,53.0
2024-07-01,aave,USDC,1357424129.15,1417946998.77,1229656101.42,1236139675.85,1506820114.72,7464.0
2024-07-01,aave,USDT,1581345595.93,1344619283.11,1708458533.27,1241711008.41,1682334648.56,7500.0
2024-07-01,compound,USDC,114789038.17,110625959.09,174215705.89,260312805.72,548113195.88,2150.0
2024-07-01,compound,USDT,70093487.49,40756460.74,25912518.25,10651268.89,26749927.0,536.0
2024-07-01,spark,USDC,1178209.1,965987.87,2003616.99,1183077.47,2468625.58,124.0
2024-07-01,spark,USDT,134735.92,39300.0,144319.26,44846.76,251766.87,53.0
2024-08-01,aave,USDC,2549262578.25,1254394177.27,2617818993.46,1386672365.99,1489965194.53,9437.0
2024-08-01,aave,USDT,1588380077.88,1782780366.08,1723326128.29,1935182423.77,1530993765.74,9247.0
2024-08-01,compound,USDC,144062744.4,77557161.65,177368530.54,58704383.96,454863310.83,1932.0
2024-08-01,compound,USDT,63643197.91,40410302.26,33656658.09,20276746.58,56011193.27,593.0
2024-08-01,spark,USDC,1542611.73,1666553.09,1102331.61,1206111.67,2018223.06,150.0
2024-08-01,spark,USDT,1321787.1,71030.04,640242.88,42341.27,321645.39,58.0
2024-09-01,aave,USDC,1785133529.99,1272190292.49,1810450038.95,1112549040.58,1514323469.31,6759.0
2024-09-01,aave,USDT,1477701997.52,1087376727.68,1386151621.75,849720874.42,1625233923.73,7246.0
2024-09-01,compound,USDC,84199718.7,78557774.76,131245342.66,44075924.96,426125059.29,1495.0
2024-09-01,compound,USDT,92995710.86,68674443.69,99994794.98,56262725.32,73958301.44,649.0
2024-09-01,spark,USDC,1019659.65,1017630.29,927869.4,946876.49,2476106.21,103.0
2024-09-01,spark,USDT,713782.51,224678.19,1150398.59,38929.48,492021.86,82.0
2024-10-01,aave,USDC,1308039109.25,2911086229.51,1209640465.79,2728599347.3,1520312627.21,6838.0
2024-10-01,aave,USDT,1033259801.01,1148862293.1,831556088.2,939138028.97,1750684748.52,7250.0
2024-10-01,compound,USDC,171654342.94,89034093.67,156389692.64,65825984.48,410512930.42,1675.0
2024-10-01,compound,USDT,193039951.27,52107841.53,182741810.2,40629672.07,78913421.59,706.0
2024-10-01,spark,USDC,1186775.71,157315.77,1474618.41,371338.99,2150699.17,91.0
2024-10-01,spark,USDT,361931.88,53683.0,390122.4,6264.58,478735.3,59.0
2024-11-01,aave,USDC,2184964742.41,5179874299.85,1852412952.1,4959218251.28,1759860219.08,11522.0
2024-11-01,aave,USDT,1974440844.14,1999255952.98,1434769249.98,1437086313.51,2055982783.51,11812.0
2024-11-01,compound,USDC,217762478.79,116484297.26,188141830.4,92447250.5,434502965.33,2588.0
2024-11-01,compound,USDT,143987737.03,61564940.23,139652270.66,56686860.91,81068757.71,844.0
2024-11-01,spark,USDC,1876425.54,612729.84,2497172.97,1153828.69,1782826.67,97.0
2024-11-01,spark,USDT,701275.25,59608.61,752899.48,108400.04,461327.6,80.0
2024-12-01,aave,USDC,2054407839.58,3315162441.7,1634667881.21,3072153394.46,2175635091.24,13672.0
2024-12-01,aave,USDT,3368777688.04,2213224032.7,2521198222.04,1877721892.28,2811742295.29,13607.0
2024-12-01,compound,USDC,177273567.99,217013569.58,157864887.6,197088100.6,476672390.29,2541.0
2024-12-01,compound,USDT,338235397.8,75654649.15,298278154.91,39208703.34,107216171.8,1027.0
2024-12-01,spark,USDC,7184287.81,1731903.2,7172679.91,1849394.7,1619164.44,137.0
2024-12-01,spark,USDT,6756157.42,310382.44,6592417.34,146764.19,560314.42,92.0
2025-01-01,aave,USDC,2171630515.08,2149803204.24,1546223809.21,2003831112.74,2639528806.73,14063.0
2025-01-01,aave,USDT,5787620239.63,1283129911.58,5422094360.97,1325124542.21,3248894973.94,11893.0
2025-01-01,compound,USDC,136931652.71,251214151.38,96000094.29,195667045.26,510783424.32,2277.0
2025-01-01,compound,USDT,123987636.27,73278265.95,102117064.37,56724286.15,134804115.11,825.0
2025-01-01,spark,USDC,4322043.45,390687.57,4551564.23,599522.94,1317411.17,90.0
2025-01-01,spark,USDT,1424941.97,848322.5,984565.84,624980.98,860579.72,78.0
2025-02-01,aave,USDC,3195663605.94,2198851179.67,3094637940.67,2414651882.81,2865662510.11,15874.0
2025-02-01,aave,USDT,5610330011.61,2021965442.48,5231590881.74,2183673810.04,3462891930.52,13732.0
2025-02-01,compound,USDC,159108500.02,150826330.77,145310937.52,143134974.64,529898970.51,2225.0
2025-02-01,compound,USDT,126120901.27,85801603.37,117616957.34,75147742.1,157602769.74,940.0
2025-02-01,spark,USDC,2680647.2,1224428.99,2475821.45,1009736.21,1484187.75,122.0
2025-02-01,spark,USDT,1751191.48,246238.49,1916955.0,230605.87,1044137.52,67.0
2025-03-01,aave,USDC,1561809360.42,2721831033.69,1785008029.53,2575282798.76,2845675615.5,15943.0
2025-03-01,aave,USDT,3953843605.79,2152243016.91,4607772747.84,2143126239.84,3295501254.24,14456.0
2025-03-01,compound,USDC,198443604.08,109787946.67,190402497.19,91048226.48,546724403.64,2401.0
2025-03-01,compound,USDT,239241410.47,39261388.85,211262733.81,48052210.62,185495990.53,1130.0
2025-03-01,spark,USDC,54643708.61,45113592.02,5367532.1,19109462.56,21707526.77,254.0
2025-03-01,spark,USDT,854490.11,248132.85,652000.92,280789.56,998464.75,62.0
2025-04-01,aave,USDC,2225507717.3,3098127207.2,2378175205.04,3330589142.19,2654656797.66,15527.0
2025-04-01,aave,USDT,5795637299.34,4330467384.12,4695774421.31,4094840450.97,3349811714.37,14713.0
2025-04-01,compound,USDC,288131489.39,55955073.31,319814722.76,58780328.67,520108241.66,2263.0
2025-04-01,compound,USDT,447653707.04,51383920.6,407925520.29,27468859.87,200818838.42,966.0
2025-04-01,spark,USDC,52004007.81,63568637.95,2075747.58,21978260.43,75759724.51,240.0
2025-04-01,spark,USDT,62234412.7,349921.04,61238635.91,151208.58,1087157.09,90.0
2025-05-01,aave,USDC,2544511193.0,4345054288.13,2440348406.51,3915891806.39,2476236480.56,16201.0
2025-05-01,aave,USDT,5065391043.86,7331754880.27,4949691173.9,6272526994.16,3917620166.67,14809.0
2025-05-01,compound,USDC,231854044.4,96127837.09,257615070.3,75712136.32,496332492.34,2204.0
