date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2023-09-13,Mercado Bitcoin,USDT,USDT/BRL,4.97225999,5.1,4.93,4.9529,131362.41552304,650624.9078440648
2023-09-14,Mercado Bitcoin,USDT,USDT/BRL,4.95289999,5.07714786,4.88001,4.91151021,89059.07159255,437414.5394199303
2023-09-15,Mercado Bitcoin,USDT,USDT/BRL,4.91150092,5.13,4.88474,4.90000001,225506.5369292,1104982.0332081455
2023-09-16,Mercado Bitcoin,USDT,USDT/BRL,4.9,5.07,4.9,4.9156,50214.59033997,246834.84027515654
2023-09-17,Mercado Bitcoin,USDT,USDT/BRL,4.9156,4.9945,4.88022679,4.91556003,92480.22818471,454592.1132300399
2023-09-18,Mercado Bitcoin,USDT,USDT/BRL,4.90348157,4.92493515,4.652,4.88933105,118328.51860316,578547.3001069329
2023-09-19,Mercado Bitcoin,USDT,USDT/BRL,4.88255638,4.91644134,4.61,4.89415818,108996.5129292,533446.1753439199
2023-09-20,Mercado Bitcoin,USDT,USDT/BRL,4.90112,4.90545,4.57801,4.90263381,123587.34775618,605903.5095976758
2023-09-21,Mercado Bitcoin,USDT,USDT/BRL,4.9034309,5.0497,4.85,4.9508389,141251.57105993,699313.7726896156
2023-09-22,Mercado Bitcoin,USDT,USDT/BRL,4.93720049,4.96818,4.91860663,4.9674967,34114.59716396,169464.14883380066
2023-09-23,Mercado Bitcoin,USDT,USDT/BRL,4.96539842,4.97132144,4.92365602,4.96125687,13064.98013199,64818.72243624889
2023-09-24,Mercado Bitcoin,USDT,USDT/BRL,4.96421182,4.97617372,4.95574741,4.97617372,8786.25178922,43721.91525081954
2023-09-25,Mercado Bitcoin,USDT,USDT/BRL,4.9744042,5.00004,4.9342,4.98369077,60699.77816893,302508.92420154397
2023-09-26,Mercado Bitcoin,USDT,USDT/BRL,4.93631001,5.02,4.93631,4.99548954,88311.50975336,441159.2232345179
2023-09-27,Mercado Bitcoin,USDT,USDT/BRL,4.98968404,5.08848408,4.94001,5.04454754,37662.06916257,189988.09834535234
2023-09-28,Mercado Bitcoin,USDT,USDT/BRL,5.0449,5.06699886,4.9002,5.04504516,148149.98643504,747423.3720181641
2023-09-29,Mercado Bitcoin,USDT,USDT/BRL,5.04504516,5.0498,4.95554,5.023,80594.43991001,404825.8716679802
2023-09-30,Mercado Bitcoin,USDT,USDT/BRL,5.040504,5.05583,5.02302,5.03402802,13130.47690433,66099.18865236008
2023-10-01,Mercado Bitcoin,USDT,USDT/BRL,5.04097538,5.05070998,5.023,5.0375037,17060.67814766,85943.2292933464
2023-10-02,Mercado Bitcoin,USDT,USDT/BRL,5.03769,5.09,5.0,5.07155365,137305.4608411,696352.0110936128
2023-10-03,Mercado Bitcoin,USDT,USDT/BRL,5.06551459,5.1891,5.01849001,5.16004737,112645.29699412,581255.0684973778
2023-10-04,Mercado Bitcoin,USDT,USDT/BRL,5.1798,5.19999,5.08803,5.16185013,104135.51357945,537531.9143077007
2023-10-05,Mercado Bitcoin,USDT,USDT/BRL,5.16481288,5.23,5.15695107,5.21585715,49305.9252205,257172.66259871025
2023-10-06,Mercado Bitcoin,USDT,USDT/BRL,5.18399472,5.2998,5.17599482,5.18251971,113108.88087794,586189.0045259661
2023-10-07,Mercado Bitcoin,USDT,USDT/BRL,5.18251971,5.20776,5.16867468,5.19387,20897.03479521,108536.48211179736
2023-10-08,Mercado Bitcoin,USDT,USDT/BRL,5.19381997,5.25052896,5.1758977,5.20096198,12748.47698729,66304.34411380022
2023-10-09,Mercado Bitcoin,USDT,USDT/BRL,5.19005006,5.226743,5.09012,5.16618351,85611.47949623,442284.6136401265
