month,receita_stablecoin_brl,exchange_volume_brl_estimated,deposits_usd,borrows_usd,selic_meta,usd_brl,receita_stablecoin_brl_mom_pct,exchange_volume_brl_estimated_mom_pct,deposits_usd_mom_pct,borrows_usd_mom_pct,selic_meta_mom_pct,usd_brl_mom_pct
2023-01-01,15253425196.509983,29836529.54283758,57574943.74,93621260.42,13.75,5.200081818181818,,,,,,
2023-02-01,13661815240.61007,37338042.3288527,212201173.88,112417643.23,13.75,5.171088888888889,-10.434442988346493,25.142041989987064,268.5651432648712,20.077045241301406,0.0,-0.5575475599548629
2023-03-01,17784378117.27992,44297790.06273588,544163644.6,295342107.36,13.75,5.210860869565217,30.175806099437175,18.639830317255512,156.43762221019816,162.71864351020696,0.0,0.7691219689103912
2023-04-01,20076658357.72008,28772557.42411297,353382526.21,282988889.15,13.75,5.019133333333333,12.889290957061373,-35.047420236168904,-35.05951202055001,-4.182681000153621,0.0,-3.6793831390067866
2023-05-01,16114359523.270056,40951016.90949208,287296994.07,186156183.45,13.75,4.982240909090909,-19.735848286357882,42.32664933417738,-18.70084886447617,-34.21784720624604,0.0,-0.7350357480525815
2023-06-01,19164296842.030075,45110744.291945264,1206463066.03,368740673.34,13.75,4.850966666666666,18.926829293809266,10.15781217752616,319.93584720070027,98.08134573141412,0.0,-2.6348433329410392
2023-07-01,20128267472.84002,43459238.58942286,1178426155.06,504259353.33,13.75,4.800233333333334,5.030033915441234,-3.6610030014895822,-2.323893019142187,36.751758020749726,0.0,-1.0458396608235998
2023-08-01,21782595817.22,52177788.73036083,640635202.39,440019428.44,13.25,4.90294347826087,8.21893064871202,20.061442454861368,-45.63637274688783,-12.739461244650386,-3.6363636363636376,2.1396906732492615
2023-09-01,15307991152.34006,48903889.47664824,348959514.24,263301893.38,12.75,4.93639,-29.723751563904578,-6.274507474111479,-45.52913843351936,-40.16130280576845,-3.7735849056603765,0.6821722886961368
2023-10-01,19574369180.459503,75161973.79012747,741538843.86,543565639.46,12.75,5.064242857142856,27.87026714127192,53.69324320515967,112.49996449444852,106.4419790083015,0.0,2.5900072146417985
2023-11-01,19854501525.88002,84082388.24585561,821436748.5799999,707541938.74,12.25,4.897735,1.4311181261471573,11.86825465844783,10.774608151893972,30.16678895356606,-3.9215686274509776,-3.287912168509166
2023-12-01,21596752184.13997,123069640.42356996,1115152964.26,946073849.93,11.75,4.89664,8.775091411834012,46.36791721914013,35.75640074390889,33.71275936162608,-4.081632653061229,-0.02235727331103554
2024-01-01,22944849957.50997,123006316.5765362,1670690416.54,1428058084.46,11.75,4.913795454545454,6.242131973714127,-0.05145367030879866,49.817152452143354,50.9457305648668,0.0,0.3503515583227257
2024-02-01,15851557401.039818,93443550.868157,1337520239.73,1182658117.81,11.25,4.96378947368421,-30.91453014339055,-24.033534643714695,-19.942065478534044,-17.184172641184592,-4.255319148936165,1.0174216570718153
2024-03-01,20405639366.40969,140159224.97928363,3033895642.04,2323968121.62,10.75,4.979535,28.72955540047528,49.99347057887336,126.82988652586226,96.50379823405204,-4.444444444444439,0.3172077784375338
2024-04-01,21414691892.150177,132483899.22246218,2559890814.95,1431481676.95,10.75,5.128486363636363,4.944968925607474,-5.476147401611209,-15.623636506207506,-38.40355796480816,0.0,2.9912705430600095
2024-05-01,21802333023.19005,143288982.89451542,2773300422.94,2324722374.02,10.5,5.132447619047619,1.8101644095190883,8.155771180851001,8.336668374434897,62.39972969637946,-2.3255813953488413,0.0772402445942566
2024-06-01,20996451940.55001,125493596.1916843,2538620360.08,1512248372.89,10.5,5.388375,-3.6963066373807862,-12.419228850226038,-8.46212191505793,-34.94929158895814,0.0,4.986458702521945
2024-07-01,22257993656.22987,218347030.75751743,3124965195.76,2914953989.58,10.5,5.541447826086957,6.00835664640782,73.99057592070659,23.096987832458836,92.75629862370707,0.0,2.8407975704541233
2024-08-01,24251414663.099808,263116137.07980987,4348212997.27,3156879590.39,10.5,5.552013636363636,8.95597796305414,20.503647870536067,39.14436561308654,8.29946550356555,0.0,0.19066876759066265
2024-09-01,28013367217.060287,373221117.8100761,3441764399.23,2508041547.1,10.75,5.540966666666667,15.512301472806644,41.84653284753439,-20.846462641299055,-20.553145114091688,2.3809523809523725,-0.19897230843627378
2024-10-01,24095031853.370068,540292823.0224481,2707541912.06,4201301456.58,10.75,5.623508695652174,-13.98737728788253,44.764804894398026,-21.33273524864927,67.5132320450546,0.0,1.4896683909337183
2024-11-01,21037286606.529976,716634962.6118429,4523733503.16,7357851828.77,11.25,5.806457894736842,-12.690355694269062,32.6382531981307,67.0789834502755,75.1326798329663,4.651162790697683,3.2532927214305785
2024-12-01,30405906139.39015,622777105.4733847,5952634938.64,5823096978.77,12.25,6.096395238095239,44.533402563200106,-13.097024571112803,31.58677305994835,-20.85873548036047,8.888888888888879,4.99335995566601
2025-01-01,30057802531.651653,529038457.2596048,8225917029.11,3758664543.22,13.25,6.021172727272727,-1.1448552335282525,-15.051717121573915,38.18950958530267,-35.45248246897763,8.163265306122458,-1.233885072812535
2025-02-01,24620638970.83084,422801312.3612501,9095654857.52,4458915223.77,13.25,5.765045,-18.08902548712713,-20.081176224628038,10.573141272057086,18.63030532514893,0.0,-4.253784750478995
2025-03-01,27009815181.260216,403067639.0832616,6008836179.4800005,5068485110.99,14.25,5.746215789473684,9.703956965779547,-4.667363298325721,-33.93728902859496,13.670811321337695,7.547169811320753,-0.3266099488610341
2025-04-01,28104076079.799915,508220921.3268359,8871168633.58,7599852144.219999,14.25,5.783085,4.051345376472293,26.088247243746785,47.635388428041715,49.94326663288868,0.0,0.641625930475076
2025-05-01,24873681955.80951,589558775.3208911,8285279106.32,11946678530.52,14.75,5.666780952380952,-11.494397164375325,16.004428503593047,-6.604423289195916,57.19619676556393,3.5087719298245723,-2.011107352201247
2025-06-01,30382551811.980217,713460761.5996912,21050295591.66,9789402562.07,15.0,5.546455,22.14738399388456,21.01605326989855,154.0686357277073,-18.057537607116824,1.6949152542372836,-2.1233563356705343
2025-07-01,30432019598.86989,568628068.7256658,23276873683.09,19631935272.2,15.0,5.52788695652174,0.16281643225952713,-20.300022183320586,10.577419598383964,100.54273126192462,0.0,-0.3347731745459104
2025-08-01,28308736920.7599,528225868.3091076,16834087991.13,21377934830.84,15.0,5.446323809523809,-6.977133644422462,-7.105206837063516,-27.678913326923738,8.893670106545425,0.0,-1.4754850748476822
2025-09-01,28123043175.180077,527305798.6929154,15314114170.45,18432247968.56,15.0,5.366809090909091,-0.6559591340991489,-0.1741810977825553,-9.029142662678746,-13.779099270293049,0.0,-1.4599704570571692
2025-10-01,37396130195.34087,951216703.3000312,17463684413.61,14867250666.82,15.0,5.384926086956522,32.97327021972052,80.3918533909366,14.03653008743917,-19.34108800956259,0.0,0.3375748184916816
2025-11-01,40569755612.83836,917395306.2081714,14852569399.67,10798715639.33,15.0,5.340252631578947,8.486507563536305,-3.555593270652646,-14.951684605025706,-27.365752543407073,0.0,-0.829602016001374
2025-12-01,34035602505.19064,907249093.982229,11847783651.46,6925122553.08,15.0,5.452481818181818,-16.105971083493486,-1.1059803944146185,-20.230747067081623,-35.870868496082885,0.0,2.101570737294667
2026-01-01,33078495401.870247,1222970484.7334108,13172263944.17,6641435300.64,15.0,5.337419047619048,-2.812076275642328,34.799857376034616,11.179139758741163,-4.096494325776623,0.0,-2.1102825172031214
2026-02-01,31854293432.0286,1233339828.1830482,15503443079.31,9211927860.25,15.0,5.200011111111111,-3.700899799004864,0.8478817419618867,17.697634552576446,38.703871125000575,0.0,-2.5744266148492234
2026-03-01,34872520619.52474,1267801452.614279,16549437949.91,8632382521.44,14.75,5.230981818181818,9.475103235099237,2.7941710503259776,6.746855296910947,-6.291249210827743,-1.6666666666666718,0.5955892479639235
